"customerkey","geographykey","customeralternatekey","birthdate","maritalstatus","gender","yearlyincome","totalchildren","englisheducation","englishoccupation","numbercarsowned","datefirstpurchase","commutedistance","fullname","customerage","city","stateprovincename","englishcountryregionname","postalcode"
11193,553,"AW00011193","1950-08-13","M","M","60000.00",4,"Bachelors","Management",2,"2022-02-25","2-5 Miles","Ian A Gray",73,"Woodburn","Oregon","United States","97071"
23482,314,"AW00023482","1968-11-19","M","F","110000.00",5,"Bachelors","Management",0,"2022-11-26","5-10 Miles","Zoe F Gray",55,"Daly City","California","United States","94015"
11000,26,"AW00011000","1971-10-06","M","M","90000.00",2,"Bachelors","Professional",0,"2020-01-19","1-2 Miles","Jon V Yang",52,"Rockhampton","Queensland","Australia","4700"
11001,37,"AW00011001","1976-05-10","S","M","60000.00",3,"Bachelors","Professional",1,"2020-01-15","0-1 Miles","Eugene L Huang",48,"Seaford","Victoria","Australia","3198"
15389,352,"AW00015389","1967-03-06","S","F","130000.00",1,"Bachelors","Management",3,"2021-05-29","0-1 Miles","Joan E King",57,"Palo Alto","California","United States","94303"
15413,49,"AW00015413","1943-03-04","M","M","130000.00",2,"Bachelors","Management",4,"2022-01-31","0-1 Miles","Donald Prasad",81,"Cliffside","British Columbia","Canada","V8Y 1L1"
15582,34,"AW00015582","1974-01-18","M","M","60000.00",2,"Bachelors","Professional",1,"2021-11-27","2-5 Miles","Jeffery A Cai",50,"Geelong","Victoria","Australia","3220"
15680,171,"AW00015680","1956-09-05","M","F","10000.00",4,"High School","Manual",2,"2022-07-05","0-1 Miles","Tasha She",67,"Neunkirchen","Saarland","Germany","66578"
18277,24,"AW00018277","1968-03-13","M","M","60000.00",1,"Bachelors","Professional",1,"2020-06-15","0-1 Miles","Terry Lal",56,"Hawthorne","Queensland","Australia","4171"
18720,31,"AW00018720","1969-06-26","M","F","60000.00",5,"Bachelors","Professional",4,"2022-10-10","2-5 Miles","Taylor M Miller",55,"Hobart","Tasmania","Australia","7001"
18763,7,"AW00018763","1954-08-20","M","F","40000.00",2,"Bachelors","Management",2,"2022-05-15","0-1 Miles","Julie E Chander",69,"Malabar","New South Wales","Australia","2036"
19303,208,"AW00019303","1957-04-09","M","M","10000.00",3,"High School","Manual",2,"2023-01-11","0-1 Miles","Sylvia N. Spencer",67,"Saint Germain en Laye","Yveline","France","78100"
19800,339,"AW00019800","1978-09-10","S","F","80000.00",0,"Bachelors","Management",1,"2022-06-21","2-5 Miles","Lauren E White",45,"Mill Valley","California","United States","94941"
20892,249,"AW00020892","1973-01-08","M","M","40000.00",0,"Bachelors","Clerical",0,"2021-07-01","0-1 Miles","Henry L Sara",51,"London","England","United Kingdom","SW1P 2NU"
22131,326,"AW00022131","1943-12-29","M","F","70000.00",5,"Graduate Degree","Management",2,"2022-05-19","10+ Miles","Jessica J Cook",80,"Grossmont","California","United States","91941"
23028,352,"AW00023028","1967-08-12","M","F","130000.00",1,"Bachelors","Management",4,"2022-08-24","2-5 Miles","Anna D Taylor",56,"Palo Alto","California","United States","94303"
23508,623,"AW00023508","1959-10-16","M","M","70000.00",3,"High School","Professional",1,"2022-11-20","5-10 Miles","Blake Jones",64,"Kirkland","Washington","United States","98033"
23618,274,"AW00023618","1952-02-01","M","M","170000.00",4,"Bachelors","Management",3,"2022-02-08","0-1 Miles","Dale C Holt",72,"West Sussex","England","United Kingdom","RH15 9UD"
